x y
102.90545242231609 201.82905722301757
103.11948228434105 181.7832654918714
1309.741780087226 1293.162941183836
92.89656689566641 215.54456299366683
96.58563411295108 217.15505367402358
101.4078726492349 201.8032944660703
1304.9424056236662 1306.1949159129217
1306.2868682753194 1309.6005710868872
1295.9113426734984 1297.0458848844087
503.1318541988413 88.98839631911977
1317.193828186861 1292.5433042787813
1302.127763501697 1289.9626483975417
504.69236528072804 112.34519111711947
1303.8808016668806 1296.4824048031048
506.8090259649897 92.55161299926044
507.7238958956006 108.59401429987142
127.17130977883735 199.28195412721306
501.09684305543595 115.70492158034615
1316.6162459338068 1292.2502373535756
493.2649838923467 112.93511790723718
505.6102694278415 102.8107185570096
104.50729996054028 202.77190658930687
503.19148211425875 98.14625264413847
104.2962963977955 211.12467664450367
102.14248779925582 211.37379403908915
1292.4613055800455 1299.3783491857303
97.07073168488886 204.55665868581264
1299.2128695521455 1285.681300847325
495.7503059839506 105.50384842582748
512.2616186028657 94.00856543588014
